         341098 function calls (251026 primitive calls) in 2.045 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {built-in method verticalScrollBar}
       19    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\xml\etree\ElementPath.py:404(find)
       72    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:226(compile)
     3701    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     1952    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:70(_is_internal_class)
       72    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
       67    0.000    0.000    0.000    0.000 {built-in method addWidget}
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\turns_widget.py:81(_setup_turnbox_frame)
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\objectbox_view.py:10(__init__)
       74    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\prop.py:325(update_rotation)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\grid.py:72(init_center)
        5    0.000    0.000    0.000    0.000 <frozen os>:282(walk)
       10    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\arrow.py:183(update_mirror)
      126    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:1018(_find_new_)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\option_picker\scroll_area.py:54(connect_signals)
      107    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:1528(__or__)
     2105    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\option_picker\option_picker.py:33(update_size)
       20    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\xml\etree\ElementPath.py:360(iterfind)
        6    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\arrow.py:482(unmirror)
        1    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:738(compile)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\utilities\export_handler.py:143(get_fill_color)
      106    0.000    0.000    0.000    0.000 {built-in method setSharedRenderer}
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\main.py:18(_configure_window)
       74    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\prop.py:307(get_rotation_angle)
      222    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:1112(__new__)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\utilities\layout_manager.py:46(configure_layouts)
      126    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
      369    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:197(__get__)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\arrowbox\arrowbox_view.py:12(__init__)
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\option_picker\scroll_area.py:81(update_scroll_area_size)
        1    0.000    0.000    0.000    0.000 {built-in method screens}
     1330    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\start_end_widget.py:116(_setup_arrow_frame)
